O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,constituency,constituency_id,pk,District,Constituency Type,position,Gender
10,S CHARLES,Independent,68,3,71,0.04,Thiruverumbur,142,142-10,Tiruchirappalli,General,14,M
11,R. PRIYA,Independent,72,0,72,0.04,Thiruverumbur,142,142-11,Tiruchirappalli,General,13,F
12,N. MUNIYANDI,Independent,52,2,54,0.03,Thiruverumbur,142,142-12,Tiruchirappalli,General,16,M
13,A. RAJA MOHAMED,Independent,67,0,67,0.03,Thiruverumbur,142,142-13,Tiruchirappalli,General,15,M
14,N. RAJU,Independent,88,0,88,0.04,Thiruverumbur,142,142-14,Tiruchirappalli,General,12,M
15,JESTIN RAJA,Independent,222,2,224,0.11,Thiruverumbur,142,142-15,Tiruchirappalli,General,10,M
16,NOTA,None of the Above,1403,15,1418,0.72,Thiruverumbur,142,142-16,Tiruchirappalli,General,6,Not Applicable
1,A.SOUNDARAPANDIAN,Dravida Munnetra Kazhagam,83264,1650,84914,48.59,Lalgudi,143,143-1,Tiruchirappalli,General,1,M
2,D.R.DHARMARAJ,All India Anna Dravida Munnetra Kazhagam,67612,353,67965,38.89,Lalgudi,143,143-2,Tiruchirappalli,General,2,M
3,K.KAMARAJ,Samaniya Makkal Nala Katchi,268,2,270,0.15,Lalgudi,143,143-3,Tiruchirappalli,General,7,M
4,R.SILAMBARASAN,Anna MGR Dravida Makkal Kalgam,138,0,138,0.08,Lalgudi,143,143-4,Tiruchirappalli,General,9,M
5,P.NAMBIRAJAN,Puthiya Tamilagam,123,1,124,0.07,Lalgudi,143,143-5,Tiruchirappalli,General,10,M
6,I.MALAR TAMIL PRABHA,Naam Tamilar Katchi,16134,114,16248,9.3,Lalgudi,143,143-6,Tiruchirappalli,General,3,F
7,VEERAN.MUTHUKUMAR,Shiv Sena,64,1,65,0.04,Lalgudi,143,143-7,Tiruchirappalli,General,13,M
8,M.VIJAYAMURTHY,Amma Makkal Munnettra Kazagam,2913,28,2941,1.68,Lalgudi,143,143-8,Tiruchirappalli,General,4,M
9,K.ANANTHABABU,Independent,56,1,57,0.03,Lalgudi,143,143-9,Tiruchirappalli,General,15,M
10,A.ANANDHKUMAR,Independent,92,4,96,0.05,Lalgudi,143,143-10,Tiruchirappalli,General,12,M
11,P.M.SAHADEVAN,Independent,65,0,65,0.04,Lalgudi,143,143-11,Tiruchirappalli,General,14,M
12,ANBIL K.THANGAMANI,Independent,246,1,247,0.14,Lalgudi,143,143-12,Tiruchirappalli,General,8,M
13,K.DHARMARAJ,Independent,120,0,120,0.07,Lalgudi,143,143-13,Tiruchirappalli,General,11,M
14,U.JOHNSON,Independent,303,1,304,0.17,Lalgudi,143,143-14,Tiruchirappalli,General,6,M
15,NOTA,None of the Above,1191,9,1200,0.69,Lalgudi,143,143-15,Tiruchirappalli,General,5,Not Applicable
1,V. INDIRANI,Bahujan Samaj Party,448,3,451,0.23,Manachanallur,144,144-1,Tiruchirappalli,General,9,F
