O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,constituency,constituency_id,pk,District,Constituency Type,position,Gender
1,V.K.Pakkiri Ambadkar,Bahujan Samaj Party,1129,6,1135,0.5,Thiruporur,33,33-1,Chengalpattu,General,7,M
2,Arumugam.K,Pattali Makkal Katchi,91388,619,92007,40.58,Thiruporur,33,33-2,Chengalpattu,General,2,M
3,Kothandapani.M,Amma Makkal Munnettra Kazagam,7629,33,7662,3.38,Thiruporur,33,33-3,Chengalpattu,General,5,M
4,S.S.Balaji,Viduthalai Chiruthaigal Katchi,92987,967,93954,41.44,Thiruporur,33,33-4,Chengalpattu,General,1,M
5,Mohana Sundari.S,Naam Tamilar Katchi,20354,74,20428,9.01,Thiruporur,33,33-5,Chengalpattu,General,3,F
6,Lavanya.N,Makkal Needhi Maiam,8125,69,8194,3.61,Thiruporur,33,33-6,Chengalpattu,General,4,F
7,U.Akbar Bhasha,Independent,267,1,268,0.12,Thiruporur,33,33-7,Chengalpattu,General,10,M
8,M.Duraisamy,Independent,190,3,193,0.09,Thiruporur,33,33-8,Chengalpattu,General,12,M
9,S.Nataraj,Independent,268,3,271,0.12,Thiruporur,33,33-9,Chengalpattu,General,9,M
10,D.Ravi,Independent,266,2,268,0.12,Thiruporur,33,33-10,Chengalpattu,General,11,M
11,A.Joshva,Independent,367,0,367,0.16,Thiruporur,33,33-11,Chengalpattu,General,8,M
12,NOTA,None of the Above,1971,11,1982,0.87,Thiruporur,33,33-12,Chengalpattu,General,6,Not Applicable
1,Ilayaraja S,Bahujan Samaj Party,960,4,964,0.54,Cheyyur,34,34-1,Chengalpattu,SC,7,M
2,Kanitha S,All India Anna Dravida Munnetra Kazhagam,78144,564,78708,43.94,Cheyyur,34,34-2,Chengalpattu,SC,2,F
3,Siva A,Desiya Murpokku Dravida Kazhagam,3026,28,3054,1.71,Cheyyur,34,34-3,Chengalpattu,SC,4,M
4,Anbu Tamilsekaran P,Makkal Needhi Maiam,1927,41,1968,1.1,Cheyyur,34,34-4,Chengalpattu,SC,5,M
5,Babu M,Viduthalai Chiruthaigal Katchi,81533,1217,82750,46.2,Cheyyur,34,34-5,Chengalpattu,SC,1,M
6,Rajesh R,Naam Tamilar Katchi,9568,85,9653,5.39,Cheyyur,34,34-6,Chengalpattu,SC,3,M
7,Amarnath B,Independent,215,1,216,0.12,Cheyyur,34,34-7,Chengalpattu,SC,10,M
8,Babu E,Independent,247,16,263,0.15,Cheyyur,34,34-8,Chengalpattu,SC,9,M
9,Vinoth M,Independent,402,1,403,0.22,Cheyyur,34,34-9,Chengalpattu,SC,8,M
10,NOTA,None of the Above,1127,14,1141,0.64,Cheyyur,34,34-10,Chengalpattu,SC,6,Not Applicable
1,Sathya. C.E,Dravida Munnetra Kazhagam,81739,1337,83076,44.7,Madurantakam,35,35-1,Chengalpattu,SC,2,M
2,Madhanraj. M,Bahujan Samaj Party,587,0,587,0.32,Madurantakam,35,35-2,Chengalpattu,SC,8,M
3,Maragatham. K,All India Anna Dravida Munnetra Kazhagam,85791,855,86646,46.62,Madurantakam,35,35-3,Chengalpattu,SC,1,F
4,Moorthi . N,Desiya Murpokku Dravida Kazhagam,2130,7,2137,1.15,Madurantakam,35,35-4,Chengalpattu,SC,4,M
5,Kothandan. A,Desiya Sirupanmayinar Makkal Iyakkam,249,2,251,0.14,Madurantakam,35,35-5,Chengalpattu,SC,9,M
6,Subash. S,Makkal Munnetra Peravai,120,1,121,0.07,Madurantakam,35,35-6,Chengalpattu,SC,11,M
7,Sumitha. P,Naam Tamilar Katchi,9249,44,9293,5.0,Madurantakam,35,35-7,Chengalpattu,SC,3,F
8,Dinesh. K,Makkal Needhi Maiam,1476,12,1488,0.8,Madurantakam,35,35-8,Chengalpattu,SC,5,M
9,Tamizhselvan. S,Independent,633,6,639,0.34,Madurantakam,35,35-9,Chengalpattu,SC,7,M
10,Ranjitham. M,Independent,233,0,233,0.13,Madurantakam,35,35-10,Chengalpattu,SC,10,F
11,NOTA,None of the Above,1369,2,1371,0.74,Madurantakam,35,35-11,Chengalpattu,SC,6,Not Applicable
1,SUNDAR K,Dravida Munnetra Kazhagam,92161,1266,93427,44.38,Uthiramerur,36,36-1,Kancheepuram,General,1,M
2,SURESH D,Bahujan Samaj Party,600,2,602,0.29,Uthiramerur,36,36-2,Kancheepuram,General,8,M
3,SOMASUNDARAM V,All India Anna Dravida Munnetra Kazhagam,91127,678,91805,43.61,Uthiramerur,36,36-3,Kancheepuram,General,2,M
4,KAMACTHI.S,Naam Tamilar Katchi,11320,85,11405,5.42,Uthiramerur,36,36-4,Kancheepuram,General,3,F
5,SIVAKUMAR.A,Desiya Makkal Sakthi Katchi,134,2,136,0.06,Uthiramerur,36,36-5,Kancheepuram,General,14,M
6,SUSAIAPPAR.A,Makkal Needhi Maiam,2077,23,2100,1.0,Uthiramerur,36,36-6,Kancheepuram,General,5,M
7,RANJITHKUMAR.R.V,Amma Makkal Munnettra Kazagam,7181,30,7211,3.43,Uthiramerur,36,36-7,Kancheepuram,General,4,M
8,JAISUDHA.V,Republican Party of India (Athawale),82,3,85,0.04,Uthiramerur,36,36-8,Kancheepuram,General,18,F
9,AROKIASAMY.J,Independent,91,13,104,0.05,Uthiramerur,36,36-9,Kancheepuram,General,15,M
10,GUNASEKAR.V,Independent,104,0,104,0.05,Uthiramerur,36,36-10,Kancheepuram,General,16,M
11,SARAVANAN.A,Independent,298,6,304,0.14,Uthiramerur,36,36-11,Kancheepuram,General,12,M
12,SIVALINGAM.M,Independent,64,0,64,0.03,Uthiramerur,36,36-12,Kancheepuram,General,21,M
13,CHINNASWAMY.T,Independent,100,1,101,0.05,Uthiramerur,36,36-13,Kancheepuram,General,17,M
14,THANGARAJ.K,Independent,332,1,333,0.16,Uthiramerur,36,36-14,Kancheepuram,General,10,M
15,DEVARAJAN.C,Independent,140,1,141,0.07,Uthiramerur,36,36-15,Kancheepuram,General,13,M
16,PONNAMBALAM.R,Independent,752,1,753,0.36,Uthiramerur,36,36-16,Kancheepuram,General,7,M
17,MADHAVARAJ.K.V,Independent,448,0,448,0.21,Uthiramerur,36,36-17,Kancheepuram,General,9,M
18,JEEVANANTHAM.D,Independent,66,0,66,0.03,Uthiramerur,36,36-18,Kancheepuram,General,20,M
19,JAYABALAN.E,Independent,305,1,306,0.15,Uthiramerur,36,36-19,Kancheepuram,General,11,M
20,JAYARAMAN.C.A,Independent,81,1,82,0.04,Uthiramerur,36,36-20,Kancheepuram,General,19,M
21,NOTA,None of the Above,946,6,952,0.45,Uthiramerur,36,36-21,Kancheepuram,General,6,Not Applicable
1,C.V.M.P. Ezhailzrasan,Dravida Munnetra Kazhagam,100914,1798,102712,44.77,Kancheepuram,37,37-1,Kancheepuram,General,1,M
2,K. Prabakaran,Bahujan Samaj Party,1185,8,1193,0.52,Kancheepuram,37,37-2,Kancheepuram,General,8,M
3,B. GOPINATH,Makkal Needhi Maiam,11936,92,12028,5.24,Kancheepuram,37,37-3,Kancheepuram,General,4,M
4,S. SALDIN,Naam Tamilar Katchi,13829,117,13946,6.08,Kancheepuram,37,37-4,Kancheepuram,General,3,M
5,P. Magesh Kumar,Pattali Makkal Katchi,90390,727,91117,39.71,Kancheepuram,37,37-5,Kancheepuram,General,2,M
6,N. MANOGARAN,Amma Makkal Munnettra Kazagam,2283,18,2301,1.0,Kancheepuram,37,37-6,Kancheepuram,General,6,M
7,M. MEGANATHAN,New Generation People’s Party,241,7,248,0.11,Kancheepuram,37,37-7,Kancheepuram,General,10,M
8,L. ARULNATHAN,Independent,2024,26,2050,0.89,Kancheepuram,37,37-8,Kancheepuram,General,7,M
9,M.ELANGOVAN,Independent,94,17,111,0.05,Kancheepuram,37,37-9,Kancheepuram,General,16,M
10,P. EZHILARASAN,Independent,126,1,127,0.06,Kancheepuram,37,37-10,Kancheepuram,General,15,M
11,S. SRINIVASAN,Independent,162,0,162,0.07,Kancheepuram,37,37-11,Kancheepuram,General,12,M
12,D.GNANAMOORTHY,Independent,412,3,415,0.18,Kancheepuram,37,37-12,Kancheepuram,General,9,M
13,T. MAGESH,Independent,143,14,157,0.07,Kancheepuram,37,37-13,Kancheepuram,General,13,M
14,R. VINOTHRAJ,Independent,133,0,133,0.06,Kancheepuram,37,37-14,Kancheepuram,General,14,M
15,J. JAYARAJ,Independent,192,1,193,0.08,Kancheepuram,37,37-15,Kancheepuram,General,11,M
16,NOTA,None of the Above,2521,18,2539,1.11,Kancheepuram,37,37-16,Kancheepuram,General,5,Not Applicable
1,P.SUDHAKAR,Bahujan Samaj Party,1816,9,1825,1.06,Arakkonam,38,38-1,Ranipet,SC,6,M
2,S.RAVI,All India Anna Dravida Munnetra Kazhagam,85057,342,85399,49.82,Arakkonam,38,38-2,Ranipet,SC,1,M
3,E.ABIRAMI,Naam Tamilar Katchi,14561,70,14631,8.54,Arakkonam,38,38-3,Ranipet,SC,3,F
4,GOWTHAMA SANNAH.J,Viduthalai Chiruthaigal Katchi,57345,885,58230,33.97,Arakkonam,38,38-4,Ranipet,SC,2,M
5,S.BASKARAN,Makkal Needhi Maiam,3522,21,3543,2.07,Arakkonam,38,38-5,Ranipet,SC,5,M
6,K.C.MANIVANNAN,Amma Makkal Munnettra Kazagam,4747,30,4777,2.79,Arakkonam,38,38-6,Ranipet,SC,4,M
7,V.RAVI,Independent,96,1,97,0.06,Arakkonam,38,38-7,Ranipet,SC,14,M
8,A.GAUTHAMAN,Independent,109,3,112,0.07,Arakkonam,38,38-8,Ranipet,SC,13,M
9,C.M.GOWTHAMAN,Independent,284,1,285,0.17,Arakkonam,38,38-9,Ranipet,SC,9,M
10,M.MANIKANDAN,Independent,111,2,113,0.07,Arakkonam,38,38-10,Ranipet,SC,12,M
11,M.MADHANRAJ,Independent,184,0,184,0.11,Arakkonam,38,38-11,Ranipet,SC,10,M
12,C.MOHAN,Independent,128,0,128,0.07,Arakkonam,38,38-12,Ranipet,SC,11,M
13,P.RAVI,Independent,432,0,432,0.25,Arakkonam,38,38-13,Ranipet,SC,8,M
14,NOTA,None of the Above,1648,8,1656,0.97,Arakkonam,38,38-14,Ranipet,SC,7,Not Applicable
1,M.GIRIDHARAN,Bahujan Samaj Party,611,3,614,0.27,Sholinghur,39,39-1,Ranipet,General,8,M
2,A.M.MUNIRATHINAM,Indian National Congress,109138,1090,110228,49.18,Sholinghur,39,39-2,Ranipet,General,1,M
3,A.M.KRISHNAN,Pattali Makkal Katchi,82919,611,83530,37.27,Sholinghur,39,39-3,Ranipet,General,2,M
4,N.G.PARTHIBAN,Amma Makkal Munnettra Kazagam,12877,102,12979,5.79,Sholinghur,39,39-4,Ranipet,General,3,M
5,Y.R.PAVENDHAN,Naam Tamilar Katchi,9580,76,9656,4.31,Sholinghur,39,39-5,Ranipet,General,4,M
6,R.VINOTH,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,131,1,132,0.06,Sholinghur,39,39-6,Ranipet,General,17,M
7,G.VIJAYAKUMAR,Desiya Sirupanmayinar Makkal Iyakkam,222,0,222,0.1,Sholinghur,39,39-7,Ranipet,General,14,M
8,R.JAWAHAR,Makkal Needhi Maiam,1649,15,1664,0.74,Sholinghur,39,39-8,Ranipet,General,5,M
9,T.RAJENDRAN,Independent,1014,1,1015,0.45,Sholinghur,39,39-9,Ranipet,General,7,M
10,R.ELUMALAI,Independent,111,1,112,0.05,Sholinghur,39,39-10,Ranipet,General,19,M
11,K.SEKAR,Independent,121,0,121,0.05,Sholinghur,39,39-11,Ranipet,General,18,M
12,A.PALANI,Independent,466,0,466,0.21,Sholinghur,39,39-12,Ranipet,General,11,M
13,P.PARTHIBAN,Independent,204,1,205,0.09,Sholinghur,39,39-13,Ranipet,General,15,M
14,J.BALAJI,Independent,464,3,467,0.21,Sholinghur,39,39-14,Ranipet,General,10,M
15,K.MANI,Independent,369,3,372,0.17,Sholinghur,39,39-15,Ranipet,General,12,M
16,N.MANI,Independent,326,0,326,0.15,Sholinghur,39,39-16,Ranipet,General,13,M
17,C.MUNIRATHINAM,Independent,174,0,174,0.08,Sholinghur,39,39-17,Ranipet,General,16,M
18,M.MUNIRATHINAM,Independent,585,2,587,0.26,Sholinghur,39,39-18,Ranipet,General,9,M
19,NOTA,None of the Above,1234,5,1239,0.55,Sholinghur,39,39-19,Ranipet,General,6,Not Applicable
1,DURAIMURUGAN,Dravida Munnetra Kazhagam,83243,1897,85140,45.71,Katpadi,40,40-1,Vellore,General,1,M
2,V RAMU,All India Anna Dravida Munnetra Kazhagam,83675,719,84394,45.31,Katpadi,40,40-2,Vellore,General,2,M
3,K RAJA,Bahujan Samaj Party,368,6,374,0.2,Katpadi,40,40-3,Vellore,General,8,M
4,ARUMUGAM K P,Republican Party of India (Athawale),142,2,144,0.08,Katpadi,40,40-4,Vellore,General,13,M
5,M SUDHARSAN,Indiya Jananayaka Katchi,991,12,1003,0.54,Katpadi,40,40-5,Vellore,General,6,M
6,S THIRUKKUMARAN,Naam Tamilar Katchi,10325,124,10449,5.61,Katpadi,40,40-6,Vellore,General,3,M
7,A S RAJA,Amma Makkal Munnettra Kazagam,1059,7,1066,0.57,Katpadi,40,40-7,Vellore,General,5,M
8,R S SRIDHAR,Anna MGR Dravida Makkal Kalgam,75,3,78,0.04,Katpadi,40,40-8,Vellore,General,16,M
9,J ANANDHI,Independent,177,16,193,0.1,Katpadi,40,40-9,Vellore,General,11,F
10,P DHANANJAYAN,Independent,163,3,166,0.09,Katpadi,40,40-10,Vellore,General,12,M
11,R BASKARAN,Independent,221,3,224,0.12,Katpadi,40,40-11,Vellore,General,10,M
12,RAMAN,Independent,144,0,144,0.08,Katpadi,40,40-12,Vellore,General,14,M
13,K RAMU,Independent,99,0,99,0.05,Katpadi,40,40-13,Vellore,General,15,M
14,D RAMU,Independent,332,0,332,0.18,Katpadi,40,40-14,Vellore,General,9,M
15,V VINAYAGAM,Independent,548,3,551,0.3,Katpadi,40,40-15,Vellore,General,7,M
16,NOTA,None of the Above,1852,37,1889,1.01,Katpadi,40,40-16,Vellore,General,4,Not Applicable
1,R.GANDHI,Dravida Munnetra Kazhagam,102273,1018,103291,49.79,Ranipet,41,41-1,Ranipet,General,1,M
2,S.M.SUGUMAR,All India Anna Dravida Munnetra Kazhagam,86339,454,86793,41.84,Ranipet,41,41-2,Ranipet,General,2,M
3,A.YUVARAJ,Bahujan Samaj Party,664,5,669,0.32,Ranipet,41,41-3,Ranipet,General,6,M
4,M.ATHAM BASHA,Makkal Needhi Maiam,2746,16,2762,1.33,Ranipet,41,41-4,Ranipet,General,4,M
5,Dr.K.SATHIYARAJ,Tamil Nadu Ilangyar Katchi,273,2,275,0.13,Ranipet,41,41-5,Ranipet,General,9,M
6,V.SHYLAJA,Naam Tamilar Katchi,10152,82,10234,4.93,Ranipet,41,41-6,Ranipet,General,3,F
7,G.VEERAMANI,Amma Makkal Munnettra Kazagam,627,10,637,0.31,Ranipet,41,41-7,Ranipet,General,7,M
8,S.GANDHI,Independent,63,1,64,0.03,Ranipet,41,41-8,Ranipet,General,13,M
9,K.SAKTHIVEL NATHAN,Independent,48,0,48,0.02,Ranipet,41,41-9,Ranipet,General,15,M
10,N.SUGUMAR,Independent,63,0,63,0.03,Ranipet,41,41-10,Ranipet,General,14,M
11,A.MANIKANDAN,Independent,267,1,268,0.13,Ranipet,41,41-11,Ranipet,General,10,M
12,A.MANSUR BASHA,Independent,194,0,194,0.09,Ranipet,41,41-12,Ranipet,General,11,M
13,S.YUVARAJ,Independent,106,1,107,0.05,Ranipet,41,41-13,Ranipet,General,12,M
14,S.JAYAKUMAR,Independent,425,0,425,0.2,Ranipet,41,41-14,Ranipet,General,8,M
15,NOTA,None of the Above,1625,7,1632,0.79,Ranipet,41,41-15,Ranipet,General,5,Not Applicable
1,J.L.Eswarappan,Dravida Munnetra Kazhagam,102667,1218,103885,49.52,Arcot,42,42-1,Ranipet,General,1,M
2,A.C.Kesavan,Bahujan Samaj Party,771,11,782,0.37,Arcot,42,42-2,Ranipet,General,7,M
3,Elavazagan.K.L,Pattali Makkal Katchi,83410,517,83927,40.01,Arcot,42,42-3,Ranipet,General,2,M
4,R.Kathiravan,Naam Tamilar Katchi,11977,111,12088,5.76,Arcot,42,42-4,Ranipet,General,3,M
5,H.Mohamed Ghouse,Tipu Sultan Party,392,5,397,0.19,Arcot,42,42-5,Ranipet,General,9,M
6,A.R.Mohamed Raffi,Makkal Needhi Maiam,2846,14,2860,1.36,Arcot,42,42-6,Ranipet,General,4,M
7,Munivel.S,National Democratic Party of South India,180,4,184,0.09,Arcot,42,42-7,Ranipet,General,12,M
8,N.Janarthanan,Amma Makkal Munnettra Kazagam,2159,31,2190,1.04,Arcot,42,42-8,Ranipet,General,6,M
9,P.Eswaran,Independent,155,0,155,0.07,Arcot,42,42-9,Ranipet,General,13,M
10,T.D.Shanmugam,Independent,231,0,231,0.11,Arcot,42,42-10,Ranipet,General,11,M
11,K.Manigandan,Independent,453,4,457,0.22,Arcot,42,42-11,Ranipet,General,8,M
12,Vasanthakumar,Independent,380,2,382,0.18,Arcot,42,42-12,Ranipet,General,10,M
13,NOTA,None of the Above,2238,15,2253,1.07,Arcot,42,42-13,Ranipet,General,5,Not Applicable
1,Appu S.R.K,All India Anna Dravida Munnetra Kazhagam,74457,661,75118,41.76,Vellore,43,43-1,Vellore,General,2,M
2,Karthikeyan .P,Dravida Munnetra Kazhagam,82907,1392,84299,46.86,Vellore,43,43-2,Vellore,General,1,M
3,Senthilkumar .P,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,200,2,202,0.11,Vellore,43,43-3,Vellore,General,10,M
4,Syed Jalaluddin .M,Tipu Sultan Party,186,1,187,0.1,Vellore,43,43-4,Vellore,General,11,M
5,Dharmalingam .V.D,Amma Makkal Munnettra Kazagam,860,5,865,0.48,Vellore,43,43-5,Vellore,General,7,M
6,Naresh Kumar .R,Tamil Nadu Ilangyar Katchi,921,7,928,0.52,Vellore,43,43-6,Vellore,General,6,M
7,Poonkundran .N,Naam Tamilar Katchi,8454,76,8530,4.74,Vellore,43,43-7,Vellore,General,3,M
8,Manogaran S,Kamarajar Deseeya Congress,67,0,67,0.04,Vellore,43,43-8,Vellore,General,14,M
9,Vikram Chakravarthy .G,Makkal Needhi Maiam,7179,64,7243,4.03,Vellore,43,43-9,Vellore,General,4,M
10,Karthick .E,Independent,35,1,36,0.02,Vellore,43,43-10,Vellore,General,18,M
11,Karthikeyan .R,Independent,40,2,42,0.02,Vellore,43,43-11,Vellore,General,17,M
12,Sathishkumar .S,Independent,54,0,54,0.03,Vellore,43,43-12,Vellore,General,16,M
13,Srinivasan .N,Independent,67,0,67,0.04,Vellore,43,43-13,Vellore,General,15,M
14,Naseer K,Independent,90,1,91,0.05,Vellore,43,43-14,Vellore,General,13,M
15,Panneer Sevlan .N,Independent,135,3,138,0.08,Vellore,43,43-15,Vellore,General,12,M
16,Vijayaraj .K,Independent,224,0,224,0.12,Vellore,43,43-16,Vellore,General,9,M
17,Vishnumohan .E,Independent,364,3,367,0.2,Vellore,43,43-17,Vellore,General,8,M
18,NOTA,None of the Above,1417,24,1441,0.8,Vellore,43,43-18,Vellore,General,5,Not Applicable
1,A.P.Nandakumar,Dravida Munnetra Kazhagam,94084,1075,95159,48.11,Anaikattu,44,44-1,Vellore,General,1,M
2,D.Velazhagan,All India Anna Dravida Munnetra Kazhagam,88031,768,88799,44.89,Anaikattu,44,44-2,Vellore,General,2,M
3,V.D.Sathish Kumar,Amma Makkal Munnettra Kazagam,1125,15,1140,0.58,Anaikattu,44,44-3,Vellore,General,6,M
4,A.Sumithra,Naam Tamilar Katchi,7974,151,8125,4.11,Anaikattu,44,44-4,Vellore,General,3,F
5,K.Rajasekar,Indiya Jananayaka Katchi,323,5,328,0.17,Anaikattu,44,44-5,Vellore,General,8,M
6,M.Arun,Independent,42,2,44,0.02,Anaikattu,44,44-6,Vellore,General,14,M
7,R Karunamoorthy,Independent,61,1,62,0.03,Anaikattu,44,44-7,Vellore,General,13,M
8,N.Kirubakaran,Independent,104,5,109,0.06,Anaikattu,44,44-8,Vellore,General,11,M
9,M.Senthil Kumar,Independent,1335,22,1357,0.69,Anaikattu,44,44-9,Vellore,General,5,M
10,K.Naveenkumar,Independent,93,1,94,0.05,Anaikattu,44,44-10,Vellore,General,12,M
11,T.Mathan Kumar,Independent,149,1,150,0.08,Anaikattu,44,44-11,Vellore,General,10,M
12,M RajBabu,Independent,179,0,179,0.09,Anaikattu,44,44-12,Vellore,General,9,M
13,P Venkatesan,Independent,468,0,468,0.24,Anaikattu,44,44-13,Vellore,General,7,M
14,NOTA,None of the Above,1768,23,1791,0.91,Anaikattu,44,44-14,Vellore,General,4,Not Applicable
1,K Seetharaman,Dravida Munnetra Kazhagam,72933,1064,73997,42.5,Kilvaithinankuppam,45,45-1,Vellore,SC,2,M
2,DHANASEELAN,Desiya Murpokku Dravida Kazhagam,1406,26,1432,0.82,Kilvaithinankuppam,45,45-2,Vellore,SC,5,M
3,PUSHPALATHA D,Bahujan Samaj Party,505,14,519,0.3,Kilvaithinankuppam,45,45-3,Vellore,SC,7,F
4,M.JAGAN MOORTHY,All India Anna Dravida Munnetra Kazhagam,83989,590,84579,48.57,Kilvaithinankuppam,45,45-4,Vellore,SC,1,M
5,K ELAVARASAN,Republican Party of India (Athawale),543,4,547,0.31,Kilvaithinankuppam,45,45-5,Vellore,SC,6,M
6,K SATHU,National Democratic Party of South India,132,1,133,0.08,Kilvaithinankuppam,45,45-6,Vellore,SC,11,M
7,J.Divya Rani,Naam Tamilar Katchi,9911,116,10027,5.76,Kilvaithinankuppam,45,45-7,Vellore,SC,3,F
8,K VENKATASAMY,Indiya Jananayaka Katchi,519,0,519,0.3,Kilvaithinankuppam,45,45-8,Vellore,SC,8,M
9,E.P.ELANCHEZHIYAN,Independent,238,4,242,0.14,Kilvaithinankuppam,45,45-9,Vellore,SC,10,M
10,S SELVA CHENGUTTUVAN,Independent,324,7,331,0.19,Kilvaithinankuppam,45,45-10,Vellore,SC,9,M
11,NOTA,None of the Above,1773,25,1798,1.03,Kilvaithinankuppam,45,45-11,Vellore,SC,4,Not Applicable
1,Amulu.V,Dravida Munnetra Kazhagam,99525,887,100412,47.45,Gudiyattam,46,46-1,Vellore,SC,1,F
2,Paritha.G,All India Anna Dravida Munnetra Kazhagam,93066,445,93511,44.19,Gudiyattam,46,46-2,Vellore,SC,2,F
3,Raja.S,Bahujan Samaj Party,502,3,505,0.24,Gudiyattam,46,46-3,Vellore,SC,6,M
4,Kalaiyenthiri.R,Naam Tamilar Katchi,11776,58,11834,5.59,Gudiyattam,46,46-4,Vellore,SC,3,F
5,Selvavinayagam.D,All Pensioner’s Party,117,2,119,0.06,Gudiyattam,46,46-5,Vellore,SC,12,M
6,Rajan.C,Indiya Jananayaka Katchi,477,5,482,0.23,Gudiyattam,46,46-6,Vellore,SC,7,M
7,Vennila.R,Republican Party of India (Athawale),65,2,67,0.03,Gudiyattam,46,46-7,Vellore,SC,13,F
8,Jayanthi Padmanaban.C,Amma Makkal Munnettra Kazagam,1793,17,1810,0.86,Gudiyattam,46,46-8,Vellore,SC,4,F
9,Elumalai.M,Independent,166,2,168,0.08,Gudiyattam,46,46-9,Vellore,SC,10,M
10,Gunaseelan.P,Independent,137,0,137,0.06,Gudiyattam,46,46-10,Vellore,SC,11,M
11,Priya.M,Independent,60,2,62,0.03,Gudiyattam,46,46-11,Vellore,SC,15,F
12,Manojkumar.G,Independent,52,0,52,0.02,Gudiyattam,46,46-12,Vellore,SC,16,M
13,Radha,Independent,66,0,66,0.03,Gudiyattam,46,46-13,Vellore,SC,14,F
14,Lakshmipathy.N,Independent,255,2,257,0.12,Gudiyattam,46,46-14,Vellore,SC,9,M
15,Jaikarthikeyan.K,Independent,448,1,449,0.21,Gudiyattam,46,46-15,Vellore,SC,8,M
16,NOTA,None of the Above,1691,8,1699,0.8,Gudiyattam,46,46-16,Vellore,SC,5,Not Applicable
1,G.SENDHIL KUMAR,All India Anna Dravida Munnetra Kazhagam,87340,678,88018,46.33,Vaniyambadi,47,47-1,Tirupathur,General,1,M
2,D.Ramu,Bahujan Samaj Party,715,6,721,0.38,Vaniyambadi,47,47-2,Tirupathur,General,7,M
3,R.Sekar,All India Youth Development Party,176,3,179,0.09,Vaniyambadi,47,47-3,Tirupathur,General,13,M
4,M.GNANA DOSS,Makkal Needhi Maiam,1843,25,1868,0.98,Vaniyambadi,47,47-4,Tirupathur,General,5,M
5,A.J.DEVENDHIRAN,Naam Tamilar Katchi,11151,75,11226,5.91,Vaniyambadi,47,47-5,Tirupathur,General,3,M
6,N.MOHAMMED NAYEEM,Indian Union Muslim League,82317,797,83114,43.74,Vaniyambadi,47,47-6,Tirupathur,General,2,M
7,T.S.VAKEEL AHMED,All India Majlis-E-Ittehadul Muslimeen,1895,2,1897,1.0,Vaniyambadi,47,47-7,Tirupathur,General,4,M
8,B.JAGAN,Akhil Bharat Hindu Mahasabha,351,5,356,0.19,Vaniyambadi,47,47-8,Tirupathur,General,9,M
9,P.ABDUL WAHID,Independent,258,1,259,0.14,Vaniyambadi,47,47-9,Tirupathur,General,10,M
10,M.SURESH,Independent,362,0,362,0.19,Vaniyambadi,47,47-10,Tirupathur,General,8,M
11,SYED MOHAMMED SALEEM,Independent,131,2,133,0.07,Vaniyambadi,47,47-11,Tirupathur,General,14,M
12,DELHI RAJI.S,Independent,184,2,186,0.1,Vaniyambadi,47,47-12,Tirupathur,General,11,M
13,C.M.MOHAMMED HUSSAIN,Independent,186,0,186,0.1,Vaniyambadi,47,47-13,Tirupathur,General,12,M
14,NOTA,None of the Above,1487,5,1492,0.79,Vaniyambadi,47,47-14,Tirupathur,General,6,Not Applicable
1,NAZAR MOHAMED.K,All India Anna Dravida Munnetra Kazhagam,69903,341,70244,39.49,Ambur,48,48-1,Tirupathur,General,2,M
2,WAZEER AHMED.J,Bahujan Samaj Party,678,3,681,0.38,Ambur,48,48-2,Tirupathur,General,7,M
3,VILWANATHAN.A.C,Dravida Munnetra Kazhagam,89561,915,90476,50.86,Ambur,48,48-3,Tirupathur,General,1,M
4,ASHOK KUMAR.C,Anaithu Makkal Puratchi Katchi,316,3,319,0.18,Ambur,48,48-4,Tirupathur,General,9,M
5,UMAR FAROOK.ASA,SOCIAL DEMOCRATIC PARTY OF INDIA,1787,6,1793,1.01,Ambur,48,48-5,Tirupathur,General,4,M
6,KAREEM BASHA.A,Rashtriya Ulama Council,81,1,82,0.05,Ambur,48,48-6,Tirupathur,General,14,M
7,PARTHIBAN.V,All India Youth Development Party,101,0,101,0.06,Ambur,48,48-7,Tirupathur,General,13,M
8,MANI.S.P,All Pensioner’s Party,358,5,363,0.2,Ambur,48,48-8,Tirupathur,General,8,M
9,MAHARUNNISHA,Naam Tamilar Katchi,10102,48,10150,5.71,Ambur,48,48-9,Tirupathur,General,3,F
10,RAJA.S,Makkal Needhi Maiam,1629,9,1638,0.92,Ambur,48,48-10,Tirupathur,General,5,M
11,MURUGAN.L,Independent,199,2,201,0.11,Ambur,48,48-11,Tirupathur,General,11,M
12,RAJINIKANTH.P,Independent,252,1,253,0.14,Ambur,48,48-12,Tirupathur,General,10,M
13,GEORGE.V.A.,Independent,159,1,160,0.09,Ambur,48,48-13,Tirupathur,General,12,M
14,NOTA,None of the Above,1410,7,1417,0.8,Ambur,48,48-14,Tirupathur,General,6,Not Applicable
1,SIVAKUMAR.V.C.,Bahujan Samaj Party,341,6,347,0.18,Jolarpet,49,49-1,Tirupathur,General,8,M
2,DEVARAJI.K.,Dravida Munnetra Kazhagam,88237,1253,89490,45.57,Jolarpet,49,49-2,Tirupathur,General,1,M
